Store,PRODUCT NAME,CLOTHING CATEGORY,PRICE,DESCRIPTION,Product Page URL,STATIC IMAGE URL
Anthropologie,Pilcro Ultra High-Rise Denim Leggings,Jeans,$120.00,"Featuring a body-hugging fit that tapers through to the ankle, skinny denim leggings are a staple for the modern wardrobe. Whether tucked into boots or styled with sandals, this flattering silhouette is a classic go-to, any day of the week.",https://www.anthropologie.com/shop/pilcro-ultra-high-rise-denim-leggings?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Weekender High-Rise Bootcut Jeans,Jeans,$238.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/mother-the-weekender-high-rise-bootcut-jeans2?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton High-Rise Skinny Jeans,Jeans,$189.00,"In Paige's signature, contouring denim, this ultra-skinny pair features a flattering high rise and close fit throughout. Offered in myriad finishes and washes, the Hoxton is a pair to collect and cherish.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-skinny-jeans26?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Tomcat Ultra High-Rise Straight Jeans,Jeans,$238.00,The straight jean fits slim across the hips and has a wider ankle than its super-skinny counterparts - think of it as a slightly roomier alternative that's just as versatile.,https://www.anthropologie.com/shop/mother-the-tomcat-ultra-high-rise-straight-jeans3?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Citizens of Humanity Rocket High-Rise Skinny Jeans,Jeans,$188.00,"This classic high-waisted pair hugs the body from the hip to just above the ankle, creating a flattering, perfectly contoured silhouette.",https://www.anthropologie.com/shop/citizens-of-humanity-rocket-high-rise-skinny-jeans30?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Weekender Mid-Rise Bootcut Jeans,Jeans,$238.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/mother-the-weekender-mid-rise-bootcut-jeans3?category=shop-all-jeans&color=003&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Claudine Coated High-Rise Flare Jeans,Jeans,$249.00,"Just to note: shoes, bedding, curtains, and swimwear must be shipped back to our warehouse and cannot be returned to a store. Good news – online returns for these items are free!",https://www.anthropologie.com/shop/paige-claudine-coated-high-rise-flare-jeans?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Denim Leggings,Jeans,$120.00,"Featuring a body-hugging fit that tapers through the ankle, denim leggings are a staple for the modern wardrobe.",https://www.anthropologie.com/shop/pilcro-high-rise-denim-leggings21?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AG The Stevie High-Rise Skinny Ankle Jeans,Jeans,$198.00,"Cropped at the ankle with a slim fit throughout, these jeans are a stylish essential for workdays and weekends alike.",https://www.anthropologie.com/shop/ag-the-stevie-high-rise-skinny-ankle-jeans7?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Jacquard Skinny Jeans,Jeans,$120.00,"With a slim fit and a shimmery jacquard finish, this pair is an elevated wardrobe essential.",https://www.anthropologie.com/shop/pilcro-high-rise-jacquard-skinny-jeans?category=shop-all-jeans&color=003&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Denim Leggings,Jeans,$120.00,Our skinniest fit boasts endless stretchability without losing its premium denim feel.,https://www.anthropologie.com/shop/pilcro-high-rise-denim-leggings22?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
